,common_name,temperature_germination,temperature_growing,days_germination,days_harvest,ph_range,ph,chalk,clay,loam,peat,sand,silt,water_code,nutrients_code,temperature_class_code,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,season_biennial,season_mixed,season_perenial,season_perennial,season_unknown
84,Winter Peas,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,1,2,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
85,Basil,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,4,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
86,Bay,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
87,Borage,26.0,18.5,4.0,70.0,1.0,6.0,0,0,0,0,0,0,3,1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
88,Bonnet Pepper,26.0,18.5,4.0,70.0,1.5,7.75,0,0,0,0,0,0,3,2,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
89,Chamomile (German chamomile),26.0,18.5,4.0,70.0,2.0,6.5,0,0,0,0,0,0,1,1,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
90,Almond,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
91,Apple,26.0,18.5,4.0,70.0,1.5,6.75,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
92,Apricot,26.0,18.5,4.0,70.0,1.5,7.25,0,0,0,0,0,0,3,2,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
93,Blackberry,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,1,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
94,Blackcurrant,26.0,18.5,4.0,70.0,1.0,6.5,0,0,0,0,0,0,3,2,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
